This is an important test 
 Block 1 ACC 
t=24043 x=0.960648, y=-0.242393, z=0.100363 
t=24053 x=0.932233, y=-0.242732, z=0.079634 
t=24063 x=0.900299, y=-0.206879, z=0.036742 
t=24073 x=0.936390, y=-0.172610, z=0.023669 
t=24083 x=0.941491, y=-0.162626, z=0.035041 
t=24093 x=0.985230, y=-0.104364, z=0.004614 
t=24103 x=0.958004, y=-0.085808, z=0.008081 
t=24113 x=0.893510, y=-0.027390, z=0.011478 
t=24123 x=0.889001, y=-0.094478, z=0.052709 
t=24133 x=0.889348, y=-0.152876, z=0.056878 
t=24143 x=0.892433, y=-0.152989, z=0.010304 
t=24153 x=0.849420, y=-0.125494, z=-0.009832 
t=24163 x=0.846807, y=-0.123525, z=0.043508 
t=24173 x=0.873795, y=-0.197016, z=0.148387 
t=24183 x=0.858796, y=-0.219937, z=0.177524 
t=24193 x=0.818942, y=-0.170473, z=0.163983 
t=24203 x=0.814886, y=-0.124180, z=0.129071 
t=24213 x=0.850941, y=-0.105815, z=0.104949 
t=24223 x=0.899878, y=-0.148793, z=0.159253 
t=24233 x=0.879017, y=-0.177005, z=0.138848 
t=24243 x=0.901493, y=-0.305705, z=0.222374 
t=24253 x=0.839077, y=-0.147872, z=0.187321 
t=24263 x=0.895241, y=-0.040084, z=0.371580 
t=24273 x=0.960480, y=0.021704, z=0.319769 
t=24283 x=1.013489, y=0.225303, z=0.316298 
t=24293 x=0.952868, y=0.190219, z=0.216470 
t=24303 x=0.918817, y=0.128610, z=0.140365 
t=24313 x=0.939202, y=0.173519, z=-0.123388 
t=24323 x=0.958511, y=0.093269, z=0.033926 
t=24333 x=1.092714, y=0.397784, z=0.018463 
t=24343 x=1.059689, y=0.162236, z=-0.160021 
t=24353 x=1.011968, y=0.042682, z=-0.088924 
t=24363 x=0.983167, y=0.043809, z=0.108919 
t=24373 x=0.932732, y=0.089856, z=0.102597 
t=24383 x=0.984602, y=0.597773, z=0.182504 
